id,current_price,market_cap,price_change_percentage_24h,ath,atl,timestamps
merlin-chain,0.363491,382242884,17.14961,1.45,0.071472,29/11/2025 40:25:08
ultima,3532.41,352760497,12.47827,22851.0,2038.41,29/11/2025 40:25:08
quant-network,93.87,1365743683,11.39742,427.42,0.215773,29/11/2025 40:25:08
memecore,1.46,2483093046,10.77962,2.96,0.04746135,29/11/2025 40:25:08
compound-governance-token,32.39,313169697,7.90661,910.54,22.89,29/11/2025 40:25:08
ecash,1.296e-05,259574601,7.07787,0.00038001,1.099e-05,29/11/2025 40:25:08
plasma,0.221796,439956888,6.5531,1.68,0.176689,29/11/2025 40:25:08
decred,24.76,421796201,5.37494,247.35,0.43154,29/11/2025 40:25:08
vision-3,0.091723,315318889,5.2307,0.223874,0.068741,29/11/2025 40:25:08
ape-and-pepe,1.62e-06,339461738,5.09891,6.89e-06,6.54916e-07,29/11/2025 40:25:08
